symbol,listing_date_utc,first_day_quote_vol_usd
GPSUSDT,2025-01-16 00:00:00,17450735.9726428
SOLVUSDT,2025-01-17 00:00:00,17497397.234783
OBTUSDT,2025-01-20 00:00:00,10456323.66141
SOSOUSDT,2025-01-24 00:00:00,25021550.709202
TRUMPUSDT,2025-01-18 00:00:00,961056696.81228
PLUMEUSDT,2025-01-21 00:00:00,52432657.401994
ANIMEUSDT,2025-01-23 00:00:00,44586019.991046
LAYERUSDT,2025-02-11 00:00:00,34872623.93481
BERAUSDT,2025-02-06 00:00:00,122970192.834886
AVLUSDT,2025-02-12 00:00:00,30795190.85957
B3USDT,2025-02-10 00:00:00,48229686.71136
DIAMUSDT,2025-02-12 00:00:00,7491240.13547
IPUSDT,2025-02-13 00:00:00,28977759.89824
ROAMUSDT,2025-03-06 00:00:00,32020923.12763
REDUSDT,2025-03-06 00:00:00,25294352.420086
BRUSDT,2025-03-20 00:00:00,18749305.55824
WALUSDT,2025-03-27 00:00:00,64167953.29495
PARTIUSDT,2025-03-25 00:00:00,33677237.474996
CORNUSDT,2025-03-28 00:00:00,8330087.520583
PUMPBTCUSDT,2025-04-01 00:00:00,2627475.980658
BABY1USDT,2025-04-10 00:00:00,11396552.76607
XAUTUSDT,2025-04-11 00:00:00,2160568.90817
VETUSDT,2025-04-14 00:00:00,2195865.5243
VTHOUSDT,2025-04-17 00:00:00,1477275.325503
WCTUSDT,2025-04-15 00:00:00,10629184.87607
DOLOUSDT,2025-04-24 00:00:00,3744901.01878
HYPERUSDT,2025-04-22 00:00:00,11008212.820053
ZORAUSDT,2025-04-23 00:00:00,19249996.00771
INITUSDT,2025-04-24 00:00:00,21042207.90025
SIGNUSDT,2025-04-28 00:00:00,13421036.03053
HAEDALUSDT,2025-04-29 00:00:00,13735768.98405
SXTUSDT,2025-05-08 00:00:00,7663816.877496
DOODUSDT,2025-05-09 00:00:00,12122298.34665
NXPCUSDT,2025-05-15 00:00:00,244969260.460319
HUMAUSDT,2025-05-26 00:00:00,11460357.024957
AOUSDT,2025-05-29 00:00:00,3454002.328095
AUSDT,2025-05-28 00:00:00,6057484.74247
LAUSDT,2025-06-04 00:00:00,16471452.839866
CUDISUSDT,2025-06-05 00:00:00,11542574.96447
RESOLVUSDT,2025-06-10 00:00:00,34428920.65809
HOMEUSDT,2025-06-10 00:00:00,44189248.3985769
SPKUSDT,2025-06-17 00:00:00,17413081.770347
HUSDT,2025-06-25 00:00:00,21996142.281968
NEWTUSDT,2025-06-24 00:00:00,37674484.164647
SAHARAUSDT,2025-06-26 00:00:00,3773799.25469
ICNTUSDT,2025-07-03 00:00:00,11346598.71244
HYPEUSDT,2025-07-11 00:00:00,4894885.43555
TACUSDT,2025-07-15 00:00:00,23253637.7499403
PUMPUSDT,2025-07-14 00:00:00,74365434.6131288
ESUSDT,2025-07-16 00:00:00,15443560.67154
ERAUSDT,2025-07-17 00:00:00,20499422.716523
TAUSDT,2025-07-21 00:00:00,11794823.996092
TREEUSDT,2025-07-29 00:00:00,13350185.67129
TOWNSUSDT,2025-08-05 00:00:00,20829066.831616
PROVEUSDT,2025-09-08 00:00:00,1699256.12967
CAMPUSDT,2025-08-27 00:00:00,28204262.873336
CFGUSDT,2025-08-26 00:00:00,2176991.19984
WLFIUSDT,2025-09-01 00:00:00,239571271.723731
SOMIUSDT,2025-09-02 00:00:00,11635088.46481
SKYUSDT,2025-09-04 00:00:00,1014456.878552
UUSDT,2025-09-04 00:00:00,1890955.4150645
AVNTUSDT,2025-09-09 00:00:00,27019106.713198
LINEAUSDT,2025-09-10 00:00:00,25193363.163721
HOLOUSDT,2025-09-11 00:00:00,20733036.770863
ZKCUSDT,2025-09-15 00:00:00,39155270.60603
BARDUSDT,2025-09-18 00:00:00,21043467.14677
ASTERUSDT,2025-09-21 00:00:00,101716617.479945
XPLUSDT,2025-09-25 00:00:00,220382045.13859
0GUSDT,2025-09-23 00:00:00,9978829.40113
XANUSDT,2025-09-29 00:00:00,64916465.865571
FFUSDT,2025-09-29 00:00:00,40391148.004102
2ZUSDT,2025-10-02 00:00:00,63227253.62382
NOMUSDT,2025-10-01 00:00:00,2806226.07169
ENSOUSDT,2025-10-14 00:00:00,15252929.56985
YBUSDT,2025-10-15 00:00:00,10803605.282267
RECALLUSDT,2025-10-15 00:00:00,23023513.89881
ZBTUSDT,2025-10-17 00:00:00,18245797.52671
METUSDT,2025-10-23 00:00:00,12599823.78144
GAIBUSDT,2025-11-19 00:00:00,5149911.796498
MMTUSDT,2025-11-04 00:00:00,64183653.9996
CCUSDT,2025-11-10 00:00:00,21010902.381562
ELIZAOSUSDT,2025-11-12 00:00:00,1986702.6584356
PIEVERSEUSDT,2025-11-14 00:00:00,3176258.199999
MONUSDT,2025-11-24 00:00:00,66037079.227548
STABLEUSDT,2025-12-08 00:00:00,30877678.415426
WETUSDT,2025-12-09 00:00:00,8786720.943894
NIGHTUSDT,2025-12-09 00:00:00,11655077.097068
SCORUSDT,2025-12-17 00:00:00,2714972.873228
ZKPUSDT,2025-12-19 00:00:00,5646447.727192
VOOIUSDT,2025-12-18 00:00:00,4024544.112172
LITUSDT,2026-01-15 00:00:00,4678396.25362
BREVUSDT,2026-01-06 00:00:00,6140527.50795
WHITEWHALEUSDT,2026-01-06 00:00:00,5388673.354195
FOGOUSDT,2026-01-15 00:00:00,12448310.558195
ELSAUSDT,2026-01-20 00:00:00,5926394.731439
SKRUSDT,2026-01-21 00:00:00,12783807.0076002
FIGHTUSDT,2026-01-22 00:00:00,7739009.919273
SENTUSDT,2026-01-22 00:00:00,9502725.8297413
USATUSDT,2026-01-27 00:00:00,10436496.134841
PYBOBOUSDT,2026-01-26 00:00:00,2330192.40045075
BIRBUSDT,2026-01-28 00:00:00,18249598.68562
ZAMAUSDT,2026-02-02 00:00:00,6634359.616201
TRIAUSDT,2026-02-03 00:00:00,3911413.1521546
AZTECUSDT,2026-02-12 00:00:00,9915441.6505968
ROBOUSDT,2026-02-27 00:00:00,38503607.614641
BSBUSDT,2026-03-04 00:00:00,2335663.855038
MANTRAUSDT,2026-03-04 00:00:00,4968972.995909
OPNUSDT,2026-03-05 00:00:00,5697585.95008
BASEDUSDT,2026-03-30 00:00:00,65666171.154637
EDGEUSDT,2026-03-31 00:00:00,146762119.66034
OPGUSDT,2026-04-21 00:00:00,16441198.406059
CHIPUSDT,2026-04-21 00:00:00,97159421.609374
BLENDUSDT,2026-04-24 00:00:00,13062666.983166
MEGAUSDT,2026-04-30 00:00:00,62042043.665034
BILLUSDT,2026-05-04 00:00:00,8169715.978558
